Registro_ID,A̱o,Trimestre,Ingresos,TiempoTrim_ID
1,2025,1,1567972887,20251
2,2024,4,1455819187,20244
3,2024,3,1322309797,20243
4,2024,2,1108472514,20242
5,2024,1,769485386,20241
6,2023,4,515335742,20234
7,2023,3,380119973,20233
8,2023,2,307337085,20232
9,2023,1,257558366,20231
10,2022,4,216233244,20224
11,2022,3,180356862,20223
12,2022,2,153032313,20222
13,2022,1,130454676,20221
14,2021,4,127389786,20214
15,2021,3,117751925,20213
16,2021,2,104782020,20212
17,2021,1,93112153,20211
18,2020,4,83479114,20204
19,2020,3,79634755,20203
20,2020,2,73538944,20202
21,2020,1,72077147,20201
22,2019,4,65388842,20194
23,2019,3,60905891,20193
24,2019,2,55338816,20192
25,2019,1,50246691,20191
26,2018,4,44026803,20184
27,2018,3,43280089,20183
28,2018,2,40653502,20182
29,2018,1,38733946,20181
30,2017,4,38110028,20174
31,2017,3,35711689,20173
32,2017,2,33509264,20172
33,2017,1,31205565,20171
34,2016,4,30143233,20164
35,2016,3,27416177,20163
36,2016,2,25353971,20162
37,2016,1,24763052,20161
38,2015,4,24881967,20154
39,2015,3,21785238,20153
40,2015,2,19945453,20152
41,2015,1,19337342,20151
42,2014,4,20012332,20144
43,2014,3,18976053,20143
44,2014,2,17680972,20142
45,2014,1,15938353,20141
46,2013,4,16218846,20134
47,2013,3,15235659,20133
48,2013,2,13970806,20132
49,2013,1,13135235,20131
