Registro_ID,A̱o,Trimestre,Accesos cada 100 hab,TiempoTrim_ID
1,2025,1,135.96,20251
2,2024,4,135.66,20244
3,2024,3,134.49,20243
4,2024,2,133.56,20242
5,2024,1,133.93,20241
6,2023,4,133.92,20234
7,2023,3,130.95,20233
8,2023,2,130.6,20232
9,2023,1,129.63,20231
10,2022,4,128.65,20224
11,2022,3,127.98,20223
12,2022,2,127.95,20222
13,2022,1,128.37,20221
14,2021,4,128.62,20214
15,2021,3,126.02,20213
16,2021,2,124.28,20212
17,2021,1,123.64,20211
18,2020,4,120.71,20204
19,2020,3,120.41,20203
20,2020,2,120.1,20202
21,2020,1,122.95,20201
22,2019,4,123.97,20194
23,2019,3,125.02,20193
24,2019,2,129.91,20192
25,2019,1,130.23,20191
26,2018,4,131.39,20184
27,2018,3,132.02,20183
28,2018,2,133.76,20182
29,2018,1,136.59,20181
30,2017,4,139.94,20174
31,2017,3,140.71,20173
32,2017,2,142.93,20172
33,2017,1,143.59,20171
34,2016,4,146.26,20164
35,2016,3,145.6,20163
36,2016,2,142.64,20162
37,2016,1,141.55,20161
38,2015,4,142.75,20154
39,2015,3,140.56,20153
40,2015,2,138.94,20152
41,2015,1,140.12,20151
42,2014,4,142.6,20144
43,2014,3,143.4,20143
44,2014,2,143.0,20142
45,2014,1,148.07,20141
46,2013,4,159.44,20134
47,2013,3,158.59,20133
48,2013,2,156.0,20132
49,2013,1,154.37,20131
