Registro_ID,Año,Trimestre,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHab_MovAvg4,PenHog_QoQ_%,PenHog_YoY_%,PenHog_MovAvg4
45,2014,1,22.49,74.04,20141,2014Q1,,,,,,
44,2014,2,22.4,73.65,20142,2014Q2,-0.40017785682525675,,,-0.5267423014586714,,
43,2014,3,22.49,73.86,20143,2014Q3,0.4017857142857073,,,0.28513238289205045,,
42,2014,4,22.61,74.16,20144,2014Q4,0.533570475767009,,22.4975,0.4061738424045558,,73.92750000000001
41,2015,1,23.47,76.89,20151,2015Q1,3.803626713843422,4.357492218763892,22.7425,3.681229773462791,3.8492706645056662,74.64
40,2015,2,23.18,75.87,20152,2015Q2,-1.235619940349375,3.482142857142856,22.9375,-1.3265704252828692,3.0142566191446063,75.19500000000001
39,2015,3,23.26,76.03,20153,2015Q3,0.3451251078516071,3.4237438861716374,23.13,0.2108870436272614,2.9379907933928973,75.7375
38,2015,4,23.03,75.17,20154,2015Q4,-0.9888220120378377,1.8575851393188847,23.235,-1.1311324477180085,1.3619201725997954,75.99000000000001
37,2016,1,23.57,76.86,20161,2016Q1,2.3447676943117557,0.4260758414997845,23.26,2.2482373287215696,-0.03901677721420693,75.9825
36,2016,2,23.83,77.65,20162,2016Q2,1.1030971574034654,2.8041415012942217,23.422500000000003,1.027842831121517,2.346118360353233,76.42750000000001
35,2016,3,23.2,75.53,20163,2016Q3,-2.643726395300039,-0.257953568357705,23.4075,-2.7301996136510076,-0.6576351440220951,76.3025
34,2016,4,23.44,76.32,20164,2016Q4,1.0344827586207028,1.7802865827182046,23.51,1.0459420097974181,1.5298656378874398,76.59
33,2017,1,23.57,76.86,20171,2017Q1,0.5546075085324231,0.0,23.509999999999998,0.70754716981134,0.0,76.59
32,2017,2,23.83,77.65,20172,2017Q2,1.1030971574034654,0.0,23.509999999999998,1.027842831121517,0.0,76.59
31,2017,3,23.2,75.53,20173,2017Q3,-2.643726395300039,0.0,23.51,-2.7301996136510076,0.0,76.59
30,2017,4,23.44,76.32,20174,2017Q4,1.0344827586207028,0.0,23.509999999999998,1.0459420097974181,0.0,76.59
29,2018,1,21.8,70.74,20181,2018Q1,-6.996587030716728,-7.509546033092917,23.067500000000003,-7.311320754716977,-7.962529274004693,75.06
28,2018,2,21.77,70.78,20182,2018Q2,-0.13761467889908952,-8.644565673520766,22.552500000000002,0.05654509471304525,-8.847392144236965,73.3425
27,2018,3,21.75,70.49,20183,2018Q3,-0.09186954524574853,-6.25,22.19,-0.40972025996044437,-6.6728452270621075,72.0825
26,2018,4,21.95,71.07,20184,2018Q4,0.9195402298850519,-6.356655290102397,21.817500000000003,0.8228117463469964,-6.878930817610063,70.77
25,2019,1,18.59,60.16,20191,2019Q1,-15.307517084282463,-14.724770642201834,21.014999999999997,-15.351062332911214,-14.956177551597394,68.125
24,2019,2,18.11,58.55,20192,2019Q2,-2.5820333512641236,-16.812126779972438,20.099999999999998,-2.6761968085106336,-17.278892342469632,65.0675
23,2019,3,17.53,56.66,20193,2019Q3,-3.2026504693539404,-19.402298850574706,19.044999999999998,-3.2280102476515804,-19.61980422755001,61.61
22,2019,4,17.2,55.55,20194,2019Q4,-1.882487164860247,-21.64009111617312,17.8575,-1.9590540063536888,-21.837624876881947,57.73
21,2020,1,16.7,53.89,20201,2020Q1,-2.9069767441860517,-10.166756320602477,17.384999999999998,-2.988298829882985,-10.422207446808507,56.162499999999994
20,2020,2,16.46,53.06,20202,2020Q2,-1.4371257485029876,-9.110988404196574,16.9725,-1.540174429393204,-9.376601195559342,54.78999999999999
19,2020,3,16.35,52.68,20203,2020Q3,-0.6682867557715633,-6.731317741015397,16.6775,-0.7161703731624613,-7.024355806565474,53.795
18,2020,4,16.16,52.03,20204,2020Q4,-1.1620795107033732,-6.04651162790697,16.4175,-1.233864844343202,-6.336633663366332,52.915
17,2021,1,15.92,51.36,20211,2021Q1,-1.4851485148514865,-4.670658682634732,16.2225,-1.2877186238708482,-4.69474856188532,52.2825
16,2021,2,15.62,50.35,20212,2021Q2,-1.8844221105527637,-5.103280680437439,16.012500000000003,-1.966510903426788,-5.107425555974365,51.605
15,2021,3,15.41,49.64,20213,2021Q3,-1.3444302176696454,-5.74923547400612,15.7775,-1.4101290963257185,-5.770690964312831,50.845
14,2021,4,16.74,53.88,20214,2021Q4,8.630759247242036,3.589108910891081,15.9225,8.541498791297354,3.5556409763597863,51.307500000000005
13,2022,1,15.97,51.52,20221,2022Q1,-4.599761051373941,0.3140703517587884,15.934999999999999,-4.380103934669632,0.31152647975078995,51.3475
12,2022,2,15.57,50.18,20222,2022Q2,-2.504696305572951,-0.3201024327784796,15.9225,-2.6009316770186364,-0.337636544190667,51.305
11,2022,3,15.46,49.79,20223,2022Q3,-0.7064868336544627,0.32446463335495945,15.935,-0.7772020725388629,0.30217566478645264,51.3425
10,2022,4,15.46,49.74,20224,2022Q4,0.0,-7.646356033452795,15.615,-0.10042177144004016,-7.683741648106901,50.3075
9,2023,1,15.5,50.02,20231,2023Q1,0.2587322121604174,-2.9430181590482163,15.4975,0.5629272215520675,-2.9114906832298115,49.9325
8,2023,2,15.81,50.97,20232,2023Q2,2.0000000000000018,1.541425818882458,15.557500000000001,1.8992403038784467,1.5743324033479444,50.13
7,2023,3,15.69,50.55,20233,2023Q3,-0.7590132827324569,1.487710219922378,15.615,-0.8240141259564515,1.5264109258887215,50.32000000000001
6,2023,4,15.44,49.7,20234,2023Q4,-1.5933715742511123,-0.1293661060802198,15.61,-1.6815034619188762,-0.08041817450743505,50.31
5,2024,1,14.72,46.85,20241,2024Q1,-4.663212435233155,-5.032258064516126,15.415000000000001,-5.7344064386317894,-6.337465013994404,49.5175
4,2024,2,14.29,45.44,20242,2024Q2,-2.9211956521739246,-9.614168247944344,15.035,-3.0096051227321285,-10.849519325093194,48.135
3,2024,3,14.02,44.54,20243,2024Q3,-1.889433170048982,-10.643722115997456,14.6175,-1.9806338028169002,-11.889218595450046,46.63250000000001
2,2024,4,13.59,43.15,20244,2024Q4,-3.0670470756062773,-11.981865284974091,14.155000000000001,-3.120790300853171,-13.179074446680083,44.995
1,2025,1,13.55,42.97,20251,2025Q1,-0.29433406916850036,-7.948369565217394,13.862499999999999,-0.4171494785631502,-8.281750266808974,44.025
