"A̱o","Trimestre","Llamadas pospago salientes","Llamadas prepago salientes","Total de llamadas salientes"
"2025","1","2.509.903","962.525","3.472.428"
"2024","4","2.753.762","1.095.453","3.849.216"
"2024","3","2.700.397","1.072.911","3.773.308"
"2024","2","2.709.620","1.067.028","3.776.648"
"2024","1","2.893.508","1.068.710","3.962.217"
"2023","4","3.413.226","1.165.616","4.578.842"
"2023","3","3.098.773","1.095.866","4.194.639"
"2023","2","3.272.337","1.052.369","4.324.706"
"2023","1","3.251.857","1.023.503","4.275.360"
"2022","4","3.785.218","1.112.907","4.898.125"
"2022","3","4.123.397","1.320.345","5.443.742"
"2022","2","4.109.736","1.364.889","5.474.625"
"2022","1","4.073.512","1.265.694","5.339.206"
"2021","4","4.580.319","1.355.533","5.935.852"
"2021","3","4.365.100","1.195.389","5.560.488"
"2021","2","4.343.282","1.084.244","5.427.526"
"2021","1","4.312.129","1.273.254","5.585.383"
"2020","4","4.653.523","1.353.625","6.007.148"
"2020","3","4.216.177","2.040.647","6.256.823"
"2020","2","3.944.061","2.091.330","6.035.390"
"2020","1","4.356.731","2.226.861","6.583.591"
"2019","4","4.935.402","2.665.719","7.601.121"
"2019","3","4.735.772","2.519.093","7.254.864"
"2019","2","5.081.581","2.632.188","7.713.769"
"2019","1","4.990.885","2.569.628","7.560.513"
"2018","4","5.415.217","2.825.480","8.240.697"
"2018","3","5.114.169","2.585.551","7.699.720"
"2018","2","4.997.593","2.617.568","7.615.161"
"2018","1","4.629.943","2.639.039","7.268.982"
"2017","4","5.506.428","2.895.913","8.402.341"
"2017","3","5.401.689","2.812.805","8.214.493"
"2017","2","5.431.369","2.753.032","8.184.400"
"2017","1","5.337.927","2.883.162","8.221.089"
"2016","4","5.977.412","3.289.295","9.266.707"
"2016","3","5.125.311","3.985.485","9.110.796"
"2016","2","4.633.918","4.362.030","8.995.948"
"2016","1","4.602.640","4.291.789","8.894.429"
"2015","4","5.015.851","4.799.840","9.815.691"
"2015","3","4.834.496","4.544.938","9.379.434"
"2015","2","4.612.087","4.081.505","8.693.592"
"2015","1","4.180.427","3.992.229","8.172.656"
"2014","4","4.957.353","4.649.196","9.606.550"
"2014","3","4.676.132","4.356.668","9.032.801"
"2014","2","4.373.148","3.942.142","8.315.290"
"2014","1","4.001.399","3.589.181","7.590.580"
"2013","4","4.743.791","3.906.876","8.650.667"
"2013","3","4.466.727","3.814.925","8.281.653"
"2013","2","4.156.872","3.699.387","7.856.258"
"2013","1","3.796.547","3.412.766","7.209.313"

