registro_id,anio,trimestre,tv_vfr_hab,tv_sat_hab,tv_vfr_hog,tv_sat_hog,tiempo_trim_id,fecha,tv_vfr_hab_qoq,tv_vfr_hab_yoy,tv_sat_hab_qoq,tv_sat_hab_yoy,tv_vfr_hog_qoq,tv_vfr_hog_yoy,tv_sat_hog_qoq,tv_sat_hog_yoy
45,2014,1,12.74,5.57,42.72,18.48,20141,2014-01-01,,,,,,,,
44,2014,2,15.09,5.97,50.61,19.81,20142,2014-04-01,2.3499999999999996,,0.39999999999999947,,7.890000000000001,,1.3299999999999983,
43,2014,3,15.12,5.74,50.7,19.06,20143,2014-07-01,0.02999999999999936,,-0.22999999999999954,,0.09000000000000341,,-0.75,
42,2014,4,15.18,5.78,50.92,19.18,20144,2014-10-01,0.0600000000000005,,0.040000000000000036,,0.21999999999999886,,0.120000000000001,
41,2015,1,14.86,5.79,49.86,19.41,20151,2015-01-01,-0.3200000000000003,2.119999999999999,0.009999999999999787,0.21999999999999975,-1.0600000000000023,7.140000000000001,0.23000000000000043,0.9299999999999997
40,2015,2,14.98,5.99,50.25,20.09,20152,2015-04-01,0.120000000000001,-0.10999999999999943,0.20000000000000018,0.020000000000000462,0.39000000000000057,-0.35999999999999943,0.6799999999999997,0.28000000000000114
39,2015,3,15.05,5.99,50.48,20.11,20153,2015-07-01,0.07000000000000028,-0.06999999999999851,0.0,0.25,0.22999999999999687,-0.22000000000000597,0.019999999999999574,1.0500000000000007
38,2015,4,15.08,5.88,50.61,19.74,20154,2015-10-01,0.02999999999999936,-0.09999999999999964,-0.11000000000000032,0.09999999999999964,0.13000000000000256,-0.3100000000000023,-0.370000000000001,0.5599999999999987
37,2016,1,14.92,5.83,50.08,19.55,20161,2016-01-01,-0.16000000000000014,0.0600000000000005,-0.04999999999999982,0.040000000000000036,-0.5300000000000011,0.21999999999999886,-0.18999999999999773,0.14000000000000057
36,2016,2,14.99,6.06,50.3,20.34,20162,2016-04-01,0.07000000000000028,0.009999999999999787,0.22999999999999954,0.0699999999999994,0.21999999999999886,0.04999999999999716,0.7899999999999991,0.25
35,2016,3,15.0,6.03,50.34,20.24,20163,2016-07-01,0.009999999999999787,-0.05000000000000071,-0.02999999999999936,0.040000000000000036,0.04000000000000625,-0.13999999999999346,-0.10000000000000142,0.129999999999999
34,2016,4,15.03,6.11,50.45,20.49,20164,2016-10-01,0.02999999999999936,-0.05000000000000071,0.08000000000000007,0.23000000000000043,0.10999999999999943,-0.1599999999999966,0.25,0.75
33,2017,1,14.99,5.75,49.01,18.77,20171,2017-01-01,-0.03999999999999915,0.07000000000000028,-0.3600000000000003,-0.08000000000000007,-1.4400000000000048,-1.0700000000000003,-1.7199999999999989,-0.7800000000000011
32,2017,2,15.38,5.85,50.0,19.04,20172,2017-04-01,0.39000000000000057,0.39000000000000057,0.09999999999999964,-0.20999999999999996,0.990000000000002,-0.29999999999999716,0.2699999999999996,-1.3000000000000007
31,2017,3,15.36,5.89,49.84,19.1,20173,2017-07-01,-0.02000000000000135,0.35999999999999943,0.040000000000000036,-0.14000000000000057,-0.1599999999999966,-0.5,0.060000000000002274,-1.139999999999997
30,2017,4,15.43,5.79,50.12,18.81,20174,2017-10-01,0.07000000000000028,0.40000000000000036,-0.09999999999999964,-0.3200000000000003,0.27999999999999403,-0.3300000000000054,-0.2900000000000027,-1.6799999999999997
29,2018,1,15.63,5.56,50.73,18.05,20181,2018-01-01,0.20000000000000107,0.6400000000000006,-0.23000000000000043,-0.1900000000000004,0.6099999999999994,1.7199999999999989,-0.759999999999998,-0.7199999999999989
28,2018,2,15.59,5.63,50.56,18.26,20182,2018-04-01,-0.040000000000000924,0.20999999999999908,0.07000000000000028,-0.21999999999999975,-0.1699999999999946,0.5600000000000023,0.21000000000000085,-0.7799999999999976
27,2018,3,15.8,5.69,51.21,18.44,20183,2018-07-01,0.21000000000000085,0.4400000000000013,0.0600000000000005,-0.1999999999999993,0.6499999999999986,1.3699999999999974,0.17999999999999972,-0.6600000000000001
26,2018,4,15.47,5.54,50.1,17.94,20184,2018-10-01,-0.33000000000000007,0.040000000000000924,-0.15000000000000036,-0.25,-1.1099999999999994,-0.01999999999999602,-0.5,-0.8699999999999974
25,2019,1,15.58,5.52,50.42,17.87,20191,2019-01-01,0.10999999999999943,-0.05000000000000071,-0.020000000000000462,-0.040000000000000036,0.3200000000000003,-0.30999999999999517,-0.07000000000000028,-0.17999999999999972
24,2019,2,15.7,5.48,50.76,17.72,20192,2019-04-01,0.11999999999999922,0.10999999999999943,-0.03999999999999915,-0.14999999999999947,0.3399999999999963,0.19999999999999574,-0.15000000000000213,-0.5400000000000027
23,2019,3,15.9,5.47,51.37,17.67,20193,2019-07-01,0.20000000000000107,0.09999999999999964,-0.010000000000000675,-0.22000000000000064,0.6099999999999994,0.1599999999999966,-0.04999999999999716,-0.7699999999999996
22,2019,4,16.17,5.45,52.21,17.6,20194,2019-10-01,0.27000000000000135,0.7000000000000011,-0.019999999999999574,-0.08999999999999986,0.8400000000000034,2.1099999999999994,-0.07000000000000028,-0.33999999999999986
21,2020,1,15.97,5.43,51.51,17.52,20201,2020-01-01,-0.20000000000000107,0.39000000000000057,-0.020000000000000462,-0.08999999999999986,-0.7000000000000028,1.0899999999999963,-0.08000000000000185,-0.3500000000000014
20,2020,2,15.93,5.41,51.36,17.45,20202,2020-04-01,-0.040000000000000924,0.23000000000000043,-0.019999999999999574,-0.07000000000000028,-0.14999999999999858,0.6000000000000014,-0.07000000000000028,-0.2699999999999996
19,2020,3,16.13,5.4,51.95,17.38,20203,2020-07-01,0.1999999999999993,0.22999999999999865,-0.009999999999999787,-0.0699999999999994,0.5900000000000034,0.5800000000000054,-0.07000000000000028,-0.2900000000000027
18,2020,4,16.1,5.09,51.8,16.39,20204,2020-10-01,-0.029999999999997584,-0.07000000000000028,-0.3100000000000005,-0.3600000000000003,-0.15000000000000568,-0.4100000000000037,-0.9899999999999984,-1.2100000000000009
17,2021,1,16.09,4.95,51.74,15.93,20211,2021-01-01,-0.010000000000001563,0.11999999999999922,-0.13999999999999968,-0.47999999999999954,-0.05999999999999517,0.23000000000000398,-0.46000000000000085,-1.5899999999999999
16,2021,2,16.02,5.08,51.48,16.33,20212,2021-04-01,-0.07000000000000028,0.08999999999999986,0.1299999999999999,-0.33000000000000007,-0.2600000000000051,0.11999999999999744,0.3999999999999986,-1.120000000000001
15,2021,3,16.73,4.68,53.72,15.03,20213,2021-07-01,0.7100000000000009,0.6000000000000014,-0.40000000000000036,-0.7200000000000006,2.240000000000002,1.769999999999996,-1.299999999999999,-2.3499999999999996
14,2021,4,16.52,4.37,52.99,14.02,20214,2021-10-01,-0.21000000000000085,0.41999999999999815,-0.3099999999999996,-0.7199999999999998,-0.7299999999999969,1.1900000000000048,-1.0099999999999998,-2.370000000000001
13,2022,1,16.41,4.45,52.61,14.25,20221,2022-01-01,-0.10999999999999943,0.3200000000000003,0.08000000000000007,-0.5,-0.38000000000000256,0.8699999999999974,0.23000000000000043,-1.6799999999999997
12,2022,2,16.55,4.47,53.01,14.31,20222,2022-04-01,0.14000000000000057,0.5300000000000011,0.019999999999999574,-0.6100000000000003,0.3999999999999986,1.5300000000000011,0.0600000000000005,-2.019999999999998
11,2022,3,16.56,4.46,52.97,14.27,20223,2022-07-01,0.00999999999999801,-0.1700000000000017,-0.009999999999999787,-0.21999999999999975,-0.03999999999999915,-0.75,-0.040000000000000924,-0.7599999999999998
10,2022,4,16.55,3.96,52.9,12.66,20224,2022-10-01,-0.00999999999999801,0.030000000000001137,-0.5,-0.41000000000000014,-0.07000000000000028,-0.09000000000000341,-1.6099999999999994,-1.3599999999999994
9,2023,1,16.71,3.8,53.36,12.13,20231,2023-01-01,0.16000000000000014,0.3000000000000007,-0.16000000000000014,-0.6500000000000004,0.46000000000000085,0.75,-0.5299999999999994,-2.119999999999999
8,2023,2,17.32,3.72,55.29,11.88,20232,2023-04-01,0.6099999999999994,0.7699999999999996,-0.07999999999999963,-0.7499999999999996,1.9299999999999997,2.280000000000001,-0.25,-2.4299999999999997
7,2023,3,16.57,3.6,52.84,11.49,20233,2023-07-01,-0.75,0.010000000000001563,-0.1200000000000001,-0.8599999999999999,-2.4499999999999957,-0.12999999999999545,-0.39000000000000057,-2.7799999999999994
6,2023,4,16.34,3.22,52.05,10.26,20234,2023-10-01,-0.23000000000000043,-0.21000000000000085,-0.3799999999999999,-0.7399999999999998,-0.7900000000000063,-0.8500000000000014,-1.2300000000000004,-2.4000000000000004
5,2024,1,16.2,3.08,51.55,9.8,20241,2024-01-01,-0.14000000000000057,-0.5100000000000016,-0.14000000000000012,-0.7199999999999998,-0.5,-1.8100000000000023,-0.4599999999999991,-2.33
4,2024,2,15.85,2.91,50.4,9.24,20242,2024-04-01,-0.34999999999999964,-1.4700000000000006,-0.16999999999999993,-0.81,-1.1499999999999986,-4.890000000000001,-0.5600000000000005,-2.6400000000000006
3,2024,3,16.02,2.48,50.89,7.89,20243,2024-07-01,0.16999999999999993,-0.5500000000000007,-0.43000000000000016,-1.12,0.490000000000002,-1.9500000000000028,-1.3500000000000005,-3.6000000000000005
2,2024,4,16.15,2.26,51.26,7.18,20244,2024-10-01,0.129999999999999,-0.19000000000000128,-0.2200000000000002,-0.9600000000000004,0.36999999999999744,-0.7899999999999991,-0.71,-3.08
1,2025,1,16.03,2.26,50.82,7.16,20251,2025-01-01,-0.11999999999999744,-0.16999999999999815,0.0,-0.8200000000000003,-0.4399999999999977,-0.7299999999999969,-0.019999999999999574,-2.6400000000000006
