Registro_ID,A̱o,Trimestre,Hogares,Comercial,Gobierno,Otros,Total,TiempoTrim_ID
1,2025,1,6415831,5750070,563439,28150,74172,20251
2,2024,4,5741731,574124,28041,77738,6421634,20244
3,2024,3,5901212,599293,27486,80908,6608899,20243
4,2024,2,6242915,669618,27789,93889,7034211,20242
5,2024,1,6161229,630018,27462,89347,6908056,20241
6,2023,4,6242915,669618,27789,93889,7034211,20234
7,2023,3,6323673,685453,27460,96169,7132755,20233
8,2023,2,6345802,694975,27297,100202,7168276,20232
9,2023,1,6182939,695300,27143,107378,7012760,20231
10,2022,4,6307995,594245,27073,111559,7040872,20224
11,2022,3,6292004,597354,26497,108792,7024647,20223
12,2022,2,6307810,610291,26749,112884,7057734,20222
13,2022,1,6452832,627770,26807,115796,7223205,20221
14,2021,4,6933738,538714,34262,119641,7626355,20214
15,2021,3,6311742,536500,34225,120836,7003303,20213
16,2021,2,6378508,545706,34144,123358,7081716,20212
17,2021,1,6459673,557287,34041,149460,7200461,20211
18,2020,4,6621370,579315,34155,129192,7364032,20204
19,2020,3,6712162,542624,36283,141479,7432548,20203
20,2020,2,6694729,598402,34391,135735,7463257,20202
21,2020,1,6778310,605915,33415,137990,7555630,20201
22,2019,4,6942553,618847,34546,166866,7762812,20194
23,2019,3,7069250,619801,34329,169309,7892689,20193
24,2019,2,7177951,640458,34264,277310,8129983,20192
25,2019,1,7360178,655594,34826,276802,8327400,20191
26,2018,4,8764892,715700,39825,285500,9805917,20184
27,2018,3,8656721,709503,38828,289936,9694988,20183
28,2018,2,8638311,712144,38473,314771,9703699,20182
29,2018,1,8490573,711654,37447,427247,9666921,20181
30,2017,4,8971186,721607,37856,530163,10260812,20174
31,2017,3,8829818,724585,37068,539018,10130489,20173
32,2017,2,9037000,759247,38093,545409,10379749,20172
33,2017,1,8950226,721226,37841,530088,10239381,20171
34,2016,4,8971186,721607,37856,530163,10260812,20164
35,2016,3,8829818,724585,37068,539018,10130489,20163
36,2016,2,9037000,759247,38093,545409,10379749,20162
37,2016,1,8950226,721226,37841,530088,10239381,20161
38,2015,4,8380800,1003363,35161,556474,9975798,20154
39,2015,3,8364541,1095767,35230,555079,10050617,20153
40,2015,2,8291156,1103025,34419,562590,9991190,20152
41,2015,1,8358053,1134427,36888,556853,10086221,20151
42,2014,4,7989623,1106502,33139,560488,9689752,20144
43,2014,3,7924613,1091747,32516,564485,9613361,20143
44,2014,2,7872511,1073038,31339,572106,9548994,20142
45,2014,1,7897980,1065834,30917,567500,9562231,20141
